State,N,P,K,pH
MEGHALAYA,Low,Medium,Medium,Low
CHANDIGARH,Low,Medium,Low,High
UTTARAKHAND,Low,Medium,High,High
MAHARASHTRA,Low,Medium,High,High
MADHYA PRADESH,Low,Medium,High,Medium
HARYANA,Low,Medium,Medium,High
JAMMU AND KASHMIR,Medium,Medium,High,Medium
TAMIL NADU,Low,Medium,High,High
TRIPURA,Medium,Medium,Medium,Low
PUDUCHERRY,Low,Medium,Medium,Medium
SIKKIM,Low,Medium,High,Low
WEST BENGAL,Medium,Medium,High,Low
JHARKHAND,Low,Medium,Medium,Low
GUJARAT,Low,Medium,High,High
DELHI,Low,Medium,High,Medium
HIMACHAL PRADESH,Low,Medium,High,Medium
CHHATTISGARH,Low,Medium,High,Low
ANDHRA PRADESH,Low,Medium,High,High
ODISHA,Low,Medium,High,Low
NAGALAND,Medium,Medium,High,Low
GOA,High,High,High,Low
PUNJAB,Medium,Low,Medium,High
RAJASTHAN,Low,Medium,High,High
UTTAR PRADESH,Low,Medium,Medium,High
MIZORAM,Low,Medium,Low,Low
BIHAR,Low,Medium,High,Medium
KARNATAKA,Low,Medium,High,High